tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1463,2019-03-01 00:00:16.0970,2019-03-01 00:24:39.3880,319.0,Fulton St & Broadway,40.711065999999995,-74.009447,347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,35618,Subscriber,1989,1
285,2019-03-01 00:00:32.3850,2019-03-01 00:05:18.1830,439.0,E 4 St & 2 Ave,40.726280700000004,-73.98978041,150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,31113,Subscriber,1980,1
686,2019-03-01 00:00:47.7970,2019-03-01 00:12:14.3090,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,3474.0,6 Ave & Spring St,40.7252556952547,-74.00412082672119,19617,Subscriber,1987,1
442,2019-03-01 00:01:01.2090,2019-03-01 00:08:23.7510,3474.0,6 Ave & Spring St,40.7252556952547,-74.00412082672119,355.0,Bayard St & Baxter St,40.71602118,-73.99974372,27086,Subscriber,1987,2
2913,2019-03-01 00:01:09.2810,2019-03-01 00:49:42.3810,379.0,W 31 St & 7 Ave,40.749156,-73.9916,212.0,W 16 St & The High Line,40.74334935,-74.00681753,34791,Subscriber,1991,1
1682,2019-03-01 00:01:27.1150,2019-03-01 00:29:29.7530,3232.0,Bond St & Fulton St,40.68962188790333,-73.98304268717766,3058.0,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,32906,Subscriber,1986,1
769,2019-03-01 00:01:30.0590,2019-03-01 00:14:19.9170,377.0,6 Ave & Canal St,40.72243797,-74.00566443,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,16223,Subscriber,1987,1
483,2019-03-01 00:01:33.0960,2019-03-01 00:09:36.4430,2010.0,Grand St & Greene St,40.72165481,-74.00234737,316.0,Fulton St & William St,40.70955958,-74.00653609,15657,Subscriber,1974,1
472,2019-03-01 00:01:37.0240,2019-03-01 00:09:29.4480,3082.0,Hope St & Union Ave,40.71167351,-73.95141312,3113.0,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,26822,Subscriber,1985,1
3198,2019-03-01 00:02:01.6940,2019-03-01 00:55:20.6360,3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,35552,Subscriber,1995,1
909,2019-03-01 00:02:10.9000,2019-03-01 00:17:20.1810,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,34078,Subscriber,1982,2
175,2019-03-01 00:02:09.5280,2019-03-01 00:05:05.5230,3418.0,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,3354.0,3 St & Prospect Park West,40.668132,-73.97363831,25360,Subscriber,1977,1
306,2019-03-01 00:02:10.9000,2019-03-01 00:07:17.7170,467.0,Dean St & 4 Ave,40.68312489,-73.97895137,3339.0,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,30822,Subscriber,1971,1
1046,2019-03-01 00:02:14.1970,2019-03-01 00:19:40.2070,3435.0,Grand St & Elizabeth St,40.718821999999996,-73.99596,3332.0,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,34912,Subscriber,1986,1
1405,2019-03-01 00:02:14.8470,2019-03-01 00:25:40.3550,3687.0,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,259.0,South St & Whitehall St,40.70122128,-74.01234218,29326,Subscriber,1963,1
739,2019-03-01 00:02:17.8950,2019-03-01 00:14:36.9610,350.0,Clinton St & Grand St,40.71559509,-73.9870295,3080.0,S 4 St & Rodney St,40.709340000000005,-73.95608,30708,Subscriber,1989,1
251,2019-03-01 00:02:43.1740,2019-03-01 00:06:54.5910,346.0,Bank St & Hudson St,40.73652889,-74.00618026,3660.0,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,26101,Subscriber,1980,1
591,2019-03-01 00:02:44.6220,2019-03-01 00:12:36.1440,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,3435.0,Grand St & Elizabeth St,40.718821999999996,-73.99596,24940,Subscriber,1994,1
2287,2019-03-01 00:02:45.3460,2019-03-01 00:40:52.8810,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,3086.0,Graham Ave & Conselyea St,40.715143,-73.944507,20310,Subscriber,1976,0
425,2019-03-01 00:03:18.7430,2019-03-01 00:10:23.9000,487.0,E 20 St & FDR Drive,40.73314259,-73.97573881,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,28173,Subscriber,1994,1
760,2019-03-01 00:03:19.3430,2019-03-01 00:15:59.3800,291.0,Madison St & Montgomery St,40.713126,-73.984844,350.0,Clinton St & Grand St,40.71559509,-73.9870295,36709,Subscriber,1979,1
