tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
139,2019-05-01 00:00:01.9010,2019-05-01 00:02:21.5170,447,8 Ave & W 52 St,40.76370739,-73.9851615,423,W 54 St & 9 Ave,40.76584941,-73.98690506,31170,Subscriber,1983,1
754,2019-05-01 00:00:03.0210,2019-05-01 00:12:37.6920,3258,W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,25560,Customer,1969,0
2308,2019-05-01 00:00:04.6270,2019-05-01 00:38:33.1710,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3676,Van Brunt St & Van Dyke St,40.675832943912894,-74.01472628116608,33369,Subscriber,1978,1
143,2019-05-01 00:00:19.3340,2019-05-01 00:02:42.5200,3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,3412,Pacific St & Nevins St,40.6853761,-73.98302136,32041,Subscriber,1997,1
138,2019-05-01 00:00:22.1840,2019-05-01 00:02:40.6480,388,W 26 St & 10 Ave,40.749717753,-74.002950346,494,W 26 St & 8 Ave,40.74734825,-73.99723551,35237,Subscriber,1967,1
1598,2019-05-01 00:00:47.5650,2019-05-01 00:27:26.4150,310,State St & Smith St,40.68926942,-73.98912867,3322,12 St & 4 Ave,40.668603000000004,-73.99043940000001,16614,Customer,1973,1
514,2019-05-01 00:01:06.0520,2019-05-01 00:09:40.1670,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15160,Subscriber,1988,1
524,2019-05-01 00:01:21.0070,2019-05-01 00:10:05.9440,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,16742,Subscriber,1964,1
415,2019-05-01 00:01:24.8140,2019-05-01 00:08:20.7770,3092,Berry St & N 8 St,40.7190095,-73.95852515,3109,Banker St & Meserole Ave,40.72606,-73.95621,19973,Subscriber,1987,1
2733,2019-05-01 00:01:30.8120,2019-05-01 00:47:04.3080,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,33792,Subscriber,1985,2
