tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
273,2019-11-01 00:00:00.2930,2019-11-01 00:04:34.1880,237,E 11 St & 2 Ave,40.73047309,-73.98672378,335,Washington Pl & Broadway,40.72903917,-73.99404649,16773,Subscriber,1989,1
159,2019-11-01 00:00:03.5840,2019-11-01 00:02:43.4780,3572,34 Ave & 38 St,40.756913,-73.921631,3568,34 St & 35 Ave,40.756933200000006,-73.92622309999999,26411,Subscriber,1980,2
967,2019-11-01 00:00:06.2670,2019-11-01 00:16:14.0990,334,W 20 St & 7 Ave,40.74238787,-73.99726235,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,35155,Subscriber,1994,2
604,2019-11-01 00:00:21.7610,2019-11-01 00:10:25.8910,280,E 10 St & 5 Ave,40.73331967,-73.99510132,445,E 10 St & Avenue A,40.72740794,-73.98142006,19864,Subscriber,1976,2
153,2019-11-01 00:00:25.2060,2019-11-01 00:02:59.0180,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3846,Central Ave & Himrod St,40.69676,-73.92302,40156,Subscriber,1994,1
869,2019-11-01 00:00:29.2120,2019-11-01 00:14:59.0920,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3733,Avenue C & E 18 St,40.730563000000004,-73.973984,18524,Subscriber,1968,1
1039,2019-11-01 00:00:29.7710,2019-11-01 00:17:48.8190,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,3299,E 98 St & Park Ave,40.788129999999995,-73.95206,15920,Subscriber,1978,2
549,2019-11-01 00:00:56.7870,2019-11-01 00:10:06.2230,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3346,Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,32691,Subscriber,1986,1
959,2019-11-01 00:01:01.6120,2019-11-01 00:17:01.1330,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,308,St James Pl & Oliver St,40.71307916,-73.99851193,38473,Subscriber,1987,1
209,2019-11-01 00:01:03.4880,2019-11-01 00:04:33.3340,3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,3584,Eastern Pkwy & Franklin Ave,40.670776700000005,-73.9576801,26481,Subscriber,1959,1
131,2019-11-01 00:01:11.0450,2019-11-01 00:03:22.2600,3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,31096,Subscriber,1991,1
